refdes,pin,voltage,current
P2,1,8.395,0.833333
P2,2,8.395,0.833333
P2,3,8.395,0.833333
P2,4,8.395,0.833333
P2,5,8.395,0.833333
P2,6,8.395,0.833333
P1,1,0.0,-0.555556
P1,2,0.0,-0.555556
P1,3,0.0,-0.555556
P1,4,0.0,-0.555556
P1,5,0.0,-0.555556
P1,6,0.0,-0.555556
P1,7,0.0,-0.555556
P1,8,0.0,-0.555556
P1,9,0.0,-0.555556
0R015,1,8.38918,-5.0
0R015,2,0.0105899,5.0
L2,6,8.39337,-0.567203
L2,5,8.39338,-1.39896
L2,4,8.39338,-1.42047
L2,3,8.39338,-1.61336
L2,7,8.39336,2.09278
L2,8,8.39336,2.10853
L2,9,8.39337,0.692904
L2,10,8.39337,0.105786
Q1,8,8.39194,-1.04712
Q1,7,8.39194,-0.703555
Q1,6,8.39194,-0.742986
Q1,5,8.39194,-2.50633
Q1,3,8.39193,1.15402
Q1,2,8.39193,3.10529
Q1,1,8.39193,0.740676
