x,y,layer1,layer2,voltage1,voltage2,current
158.614,633.945,TOP_LAYER,BOTTOM_LAYER,0,9.35263e-06,-0.067684
158.614,733.945,TOP_LAYER,BOTTOM_LAYER,0,7.06072e-06,-0.0510977
158.614,833.945,TOP_LAYER,BOTTOM_LAYER,0,4.24584e-06,-0.0307267
158.614,933.945,TOP_LAYER,BOTTOM_LAYER,0,1.84619e-06,-0.0133607
158.614,1033.94,TOP_LAYER,BOTTOM_LAYER,0,0,-0
158.614,1133.94,TOP_LAYER,BOTTOM_LAYER,0,1.53617e-06,-0.0111171
158.614,1233.94,TOP_LAYER,BOTTOM_LAYER,0,9.74568e-07,-0.00705285
158.614,1333.94,TOP_LAYER,BOTTOM_LAYER,0,7.56938e-07,-0.00547789
158.614,1433.94,TOP_LAYER,BOTTOM_LAYER,0,8.59578e-07,-0.00622068
294.879,682.121,TOP_LAYER,BOTTOM_LAYER,4.30858e-05,4.99138e-05,-0.0830204
875.176,1621.82,TOP_LAYER,BOTTOM_LAYER,8.39193,8.39193,6.57979e-11
1004.88,668.121,TOP_LAYER,BOTTOM_LAYER,0.000381086,0.00036707,0.170411
990.176,1382.82,TOP_LAYER,BOTTOM_LAYER,8.39199,8.39199,2.87866e-11
1442.31,177.689,TOP_LAYER,BOTTOM_LAYER,0.000446249,0.000436612,0.0855465
2275.58,243.112,TOP_LAYER,BOTTOM_LAYER,8.395,8.395,-0
2450.9,1605.1,TOP_LAYER,BOTTOM_LAYER,8.39437,8.39437,-2.02084e-11
2458.61,333.945,TOP_LAYER,BOTTOM_LAYER,0.000411665,0.000411492,0.00125468
2458.61,433.945,TOP_LAYER,BOTTOM_LAYER,0.00041207,0.000411879,0.0013778
2458.61,533.945,TOP_LAYER,BOTTOM_LAYER,0.0004129,0.000412403,0.00359419
2458.61,633.945,TOP_LAYER,BOTTOM_LAYER,0.000412125,0.000411868,0.00185612
2458.61,933.945,TOP_LAYER,BOTTOM_LAYER,8.395,8.395,1.28553e-11
2458.61,1033.94,TOP_LAYER,BOTTOM_LAYER,8.395,8.395,-0
2458.61,1133.94,TOP_LAYER,BOTTOM_LAYER,8.395,8.395,1.28553e-11
2458.61,1233.94,TOP_LAYER,BOTTOM_LAYER,8.395,8.395,1.28553e-11
2458.61,1333.94,TOP_LAYER,BOTTOM_LAYER,8.395,8.395,-2.57106e-11
2458.61,1433.94,TOP_LAYER,BOTTOM_LAYER,8.395,8.395,-1.28553e-11
2543.3,243.112,TOP_LAYER,BOTTOM_LAYER,8.395,8.395,-0
2576.9,1604.1,TOP_LAYER,BOTTOM_LAYER,0.000311853,0.000309793,0.0117179
