refdes,pin,voltage,current,rpin
VCOMP1,VCOMP1-0,8.395,0.833333,0
VCOMP1,VCOMP1-1,8.395,0.833333,0
VCOMP1,VCOMP1-2,8.395,0.833333,0
VCOMP1,VCOMP1-3,8.395,0.833333,0
VCOMP1,VCOMP1-4,8.395,0.833333,0
VCOMP1,VCOMP1-5,8.395,0.833333,0
VCOMP1,VCOMP1-6,0,-0.555556,0
VCOMP1,VCOMP1-7,0,-0.555556,0
VCOMP1,VCOMP1-8,0,-0.555556,0
VCOMP1,VCOMP1-9,0,-0.555556,0
VCOMP1,VCOMP1-10,0,-0.555556,0
VCOMP1,VCOMP1-11,0,-0.555556,0
VCOMP1,VCOMP1-12,0,-0.555556,0
VCOMP1,VCOMP1-13,0,-0.555556,0
VCOMP1,VCOMP1-14,0,-0.555556,0
VCOMP0,VCOMP0-0,8.38918,-5,0.02
VCOMP0,VCOMP0-1,0.0105899,5,0.02
VCOMP2,VCOMP2-0,8.39337,-0.567203,2e-06
VCOMP2,VCOMP2-1,8.39338,-1.39896,2e-06
VCOMP2,VCOMP2-2,8.39338,-1.42047,2e-06
VCOMP2,VCOMP2-3,8.39338,-1.61336,2e-06
VCOMP2,VCOMP2-4,8.39336,2.09278,2e-06
VCOMP2,VCOMP2-5,8.39336,2.10853,2e-06
VCOMP2,VCOMP2-6,8.39337,0.692904,2e-06
VCOMP2,VCOMP2-7,8.39337,0.105786,2e-06
VCOMP3,VCOMP3-0,8.39194,-1.04712,1.71429e-06
VCOMP3,VCOMP3-1,8.39194,-0.703555,1.71429e-06
VCOMP3,VCOMP3-2,8.39194,-0.742986,1.71429e-06
VCOMP3,VCOMP3-3,8.39194,-2.50633,1.71429e-06
VCOMP3,VCOMP3-4,8.39193,1.15402,1.71429e-06
VCOMP3,VCOMP3-5,8.39193,3.10529,1.71429e-06
VCOMP3,VCOMP3-6,8.39193,0.740676,1.71429e-06
