x,y,layer1,layer2,voltage1,voltage2,current
29.0833,97.0968,TOP_LAYER,BOTTOM_LAYER,0.0745215,0.0744196,0.487031
29.0833,412.057,TOP_LAYER,BOTTOM_LAYER,0.0740182,0.0740021,0.0769654
29.0833,1356.94,TOP_LAYER,BOTTOM_LAYER,0.067134,0.0671096,0.116501
30.3688,177.689,TOP_LAYER,BOTTOM_LAYER,0.0746425,0.074551,0.437294
30.3688,1122.57,TOP_LAYER,BOTTOM_LAYER,0.068697,0.068679,0.085934
107.823,254.577,TOP_LAYER,BOTTOM_LAYER,0.0753058,0.0754915,-0.887033
107.823,884.498,TOP_LAYER,BOTTOM_LAYER,0.0849273,0.0852718,-1.64512
107.823,1199.46,TOP_LAYER,BOTTOM_LAYER,0.0684903,0.0683849,0.503192
107.823,1514.42,TOP_LAYER,BOTTOM_LAYER,0.0662298,0.0662423,-0.059951
158.614,633.945,TOP_LAYER,BOTTOM_LAYER,0.0911368,0.0905688,4.11085
158.614,733.945,TOP_LAYER,BOTTOM_LAYER,0.0905153,0.0900932,3.05513
158.614,833.945,TOP_LAYER,BOTTOM_LAYER,0.0879152,0.0875104,2.92979
158.614,933.945,TOP_LAYER,BOTTOM_LAYER,0.0831386,0.0839957,-6.20237
158.614,1033.94,TOP_LAYER,BOTTOM_LAYER,0.0738688,0.0738688,-2.00864e-13
158.614,1133.94,TOP_LAYER,BOTTOM_LAYER,0.0698162,0.0692091,4.39377
158.614,1233.94,TOP_LAYER,BOTTOM_LAYER,0.0677823,0.0677885,-0.0445504
158.614,1333.94,TOP_LAYER,BOTTOM_LAYER,0.0669248,0.0668889,0.260107
158.614,1433.94,TOP_LAYER,BOTTOM_LAYER,0.0663837,0.0664097,-0.188043
186.564,97.0968,TOP_LAYER,BOTTOM_LAYER,0.0746293,0.0745246,0.500404
265.304,1199.46,TOP_LAYER,BOTTOM_LAYER,0.0670965,0.0670757,0.0993856
265.304,1514.42,TOP_LAYER,BOTTOM_LAYER,0.0658005,0.0658087,-0.0391565
294.879,682.121,TOP_LAYER,BOTTOM_LAYER,0.0996484,0.0962613,41.1822
294.879,897.121,TOP_LAYER,BOTTOM_LAYER,0.0997684,0.0997684,-5.06208e-13
388.311,174.689,TOP_LAYER,BOTTOM_LAYER,0.289805,0.289805,-1.9712e-12
422.784,1199.46,TOP_LAYER,BOTTOM_LAYER,0.0652561,0.0651398,0.555708
422.784,1514.42,TOP_LAYER,BOTTOM_LAYER,0.0652547,0.0651961,0.279517
501.524,1356.94,TOP_LAYER,BOTTOM_LAYER,0.064685,0.0646171,0.324605
580.264,1199.46,TOP_LAYER,BOTTOM_LAYER,0.0634194,0.0634091,0.0487711
580.264,1514.42,TOP_LAYER,BOTTOM_LAYER,0.0646939,0.0645327,0.770081
588.311,174.689,TOP_LAYER,BOTTOM_LAYER,179.809,179.816,-60
620.92,886.35,TOP_LAYER,BOTTOM_LAYER,0.0658521,0.0664213,-2.71848
659.005,1041.98,TOP_LAYER,BOTTOM_LAYER,0.0624449,0.0623384,0.508559
737.745,1199.46,TOP_LAYER,BOTTOM_LAYER,0.061117,0.0613919,-1.31288
739.03,1122.57,TOP_LAYER,BOTTOM_LAYER,0.0611007,0.0612988,-0.946361
895.225,1199.46,TOP_LAYER,BOTTOM_LAYER,0.0583641,0.0592492,-4.22733
1004.88,668.121,TOP_LAYER,BOTTOM_LAYER,0.0439956,0.0445941,-7.27656
1004.31,177.689,TOP_LAYER,BOTTOM_LAYER,179.917,179.915,23.5929
1131.45,727.018,TOP_LAYER,BOTTOM_LAYER,0.0386777,0.0390795,-1.91919
1242.31,177.689,TOP_LAYER,BOTTOM_LAYER,179.94,179.936,36.4071
1288.93,727.018,TOP_LAYER,BOTTOM_LAYER,0.0329649,0.0326729,1.39488
1367.67,254.577,TOP_LAYER,BOTTOM_LAYER,0.0112828,0.0118867,-2.88444
1367.67,569.538,TOP_LAYER,BOTTOM_LAYER,0.0254183,0.0261077,-3.293
1442.31,177.689,TOP_LAYER,BOTTOM_LAYER,0,0.00365401,-32.4385
