x,y,layer1,layer2,voltage1,voltage2,current
-3102.16,-3498.45,TOP_LAYER,BOTTOM_LAYER,0.00713001,0.00707523,0.0558191
-3102.16,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.00639958,0.00635778,0.0425925
-2905.31,-3892.15,TOP_LAYER,BOTTOM_LAYER,0.00740495,0.00732976,0.0766229
-2905.31,-2317.35,TOP_LAYER,BOTTOM_LAYER,0.00618433,0.00615662,0.0282323
-2708.46,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.0076122,0.0075387,0.07489
-2708.46,-3498.45,TOP_LAYER,BOTTOM_LAYER,0.00708594,0.00701781,0.0694197
-2708.46,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.00640831,0.0063485,0.0609443
-2708.46,-1923.65,TOP_LAYER,BOTTOM_LAYER,0.00599959,0.00597817,0.021824
-2545.63,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.0150428,0.0160022,-1.31364
-2545.63,-4365.13,TOP_LAYER,BOTTOM_LAYER,8.04815,8.04674,1.93922
-2545.63,-4265.13,TOP_LAYER,BOTTOM_LAYER,0.00797408,0.00790939,0.0885697
-2530.63,-3570.13,TOP_LAYER,BOTTOM_LAYER,0.00707124,0.00706934,0.00260741
-2511.61,-4679.55,TOP_LAYER,BOTTOM_LAYER,0.00718408,0.00719763,-0.0138061
-2511.61,-3892.15,TOP_LAYER,BOTTOM_LAYER,0.0080358,0.00773713,0.304338
-2511.61,-2317.35,TOP_LAYER,BOTTOM_LAYER,0.00608505,0.00604981,0.0359111
-2511.61,-1529.94,TOP_LAYER,BOTTOM_LAYER,0.00585314,0.00583674,0.0167098
-2334.24,-4466.52,TOP_LAYER,BOTTOM_LAYER,0.00968722,0.011427,-2.68636
-2334.24,-4366.52,TOP_LAYER,BOTTOM_LAYER,8.05127,8.04994,2.06078
-2334.24,-4266.52,TOP_LAYER,BOTTOM_LAYER,8.05128,8.05128,-3.56565e-11
-2334.24,-4166.52,TOP_LAYER,BOTTOM_LAYER,0.00967922,0.00864986,1.58939
-2334.24,-3466.52,TOP_LAYER,BOTTOM_LAYER,0.00703264,0.0071381,-0.16284
-2334.24,-2466.52,TOP_LAYER,BOTTOM_LAYER,0.00605418,0.00601794,0.0559476
-2314.76,-5073.25,TOP_LAYER,BOTTOM_LAYER,0.0069835,0.00700076,-0.0175952
-2314.76,-1923.65,TOP_LAYER,BOTTOM_LAYER,0.00591555,0.0058825,0.0336795
-2314.76,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.00573675,0.0057261,0.010853
-2113.05,-817.266,TOP_LAYER,BOTTOM_LAYER,0.00561958,0.005621,-0.00244311
-2117.91,-5466.95,TOP_LAYER,BOTTOM_LAYER,0.00677528,0.00677331,0.00200985
-2117.91,-3892.15,TOP_LAYER,BOTTOM_LAYER,0.00850501,0.0079922,0.522553
-2117.91,-2317.35,TOP_LAYER,BOTTOM_LAYER,0.00601914,0.00592533,0.0955904
-2117.91,-1529.94,TOP_LAYER,BOTTOM_LAYER,0.00577017,0.00574577,0.0248614
-2117.91,-742.543,TOP_LAYER,BOTTOM_LAYER,0.00560628,0.00560877,-0.00254495
-2072.69,-1094.37,TOP_LAYER,BOTTOM_LAYER,0.00568235,0.00567989,0.00423364
-1921.06,-5073.25,TOP_LAYER,BOTTOM_LAYER,0.00684604,0.00688079,-0.0354142
-1921.06,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.00564097,0.00566504,-0.0245197
-1875.84,-600.591,TOP_LAYER,BOTTOM_LAYER,0.00551412,0.00552733,-0.022707
-1832.54,-876.912,TOP_LAYER,BOTTOM_LAYER,0.00555762,0.00556705,-0.0162036
-1724.21,-1529.94,TOP_LAYER,BOTTOM_LAYER,0.00565077,0.00561363,0.0378375
-1724.21,-742.543,TOP_LAYER,BOTTOM_LAYER,0.00547828,0.00550515,-0.0273886
-1717.5,-5124.86,TOP_LAYER,BOTTOM_LAYER,0.00674279,0.00675827,-0.0201691
-1527.36,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0062804,0.00624097,0.0401796
-1527.36,-5073.25,TOP_LAYER,BOTTOM_LAYER,0.00663997,0.00667869,-0.0394551
-1527.36,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.00703022,0.00724774,-0.221651
-1527.36,-3498.45,TOP_LAYER,BOTTOM_LAYER,0.00672753,0.00699293,-0.270451
-1527.36,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.00581826,0.00575967,0.059708
-1527.36,-1923.65,TOP_LAYER,BOTTOM_LAYER,0.00547236,0.00554879,-0.0778811
-1527.36,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.00551627,0.00548555,0.0312965
-1527.36,-348.842,TOP_LAYER,BOTTOM_LAYER,0.00537709,0.00542677,-0.0506242
-1422.23,-5124.86,TOP_LAYER,BOTTOM_LAYER,0.00668039,0.00668039,3.38931e-14
-1409.24,-2566.52,TOP_LAYER,BOTTOM_LAYER,0.00571412,0.00569976,0.0221626
-1368.38,-5880.44,TOP_LAYER,BOTTOM_LAYER,0.00605448,0.00605827,-0.00584515
-1330.51,-2317.35,TOP_LAYER,BOTTOM_LAYER,0.00554754,0.00557574,-0.0287376
-1134.24,-1466.52,TOP_LAYER,BOTTOM_LAYER,8.05785,8.05785,1.09712e-11
-1134.24,-1366.52,TOP_LAYER,BOTTOM_LAYER,8.05785,8.05785,-3.56565e-11
-1134.24,-1266.52,TOP_LAYER,BOTTOM_LAYER,8.05785,8.05785,-3.29137e-11
-1134.24,-1166.52,TOP_LAYER,BOTTOM_LAYER,8.05785,8.05785,-3.29137e-11
-1134.24,-1066.52,TOP_LAYER,BOTTOM_LAYER,8.05785,8.05785,-3.56565e-11
-1134.24,-966.522,TOP_LAYER,BOTTOM_LAYER,8.05785,8.05785,-3.56565e-11
-1134.24,-866.522,TOP_LAYER,BOTTOM_LAYER,0.00528277,0.00527841,0.00673785
-1134.24,-766.522,TOP_LAYER,BOTTOM_LAYER,0.0052769,0.00526976,0.0110248
-1134.24,-666.522,TOP_LAYER,BOTTOM_LAYER,0.005266,0.00525509,0.0168354
-1134.24,-566.522,TOP_LAYER,BOTTOM_LAYER,0.00525946,0.00524637,0.0202127
-1134.24,-466.522,TOP_LAYER,BOTTOM_LAYER,0.00525229,0.00523761,0.0226601
-1134.24,-366.522,TOP_LAYER,BOTTOM_LAYER,0.00524804,0.00523402,0.0216479
-1133.66,-1923.65,TOP_LAYER,BOTTOM_LAYER,0.00533528,0.00537134,-0.0367457
-1106.57,-5879.46,TOP_LAYER,BOTTOM_LAYER,0.00567561,0.00571415,-0.0595085
-1035.63,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.00654893,0.00649583,0.072708
-1035.63,-2065.13,TOP_LAYER,BOTTOM_LAYER,0.00529069,0.00531606,-0.0347443
-935.634,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.00651787,0.00644311,0.102373
-935.634,-2065.13,TOP_LAYER,BOTTOM_LAYER,0.00524077,0.00527008,-0.0401402
-936.805,-5466.95,TOP_LAYER,BOTTOM_LAYER,0.00543815,0.00538552,0.0536311
-936.805,-1529.94,TOP_LAYER,BOTTOM_LAYER,0.00517722,0.0052205,-0.044098
-936.805,-742.543,TOP_LAYER,BOTTOM_LAYER,0.00520352,0.00520216,0.00139013
-833.929,-5876.5,TOP_LAYER,BOTTOM_LAYER,0.00536808,0.00540129,-0.0512868
-739.954,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.00526144,0.00531439,-0.0539566
-739.954,-1923.65,TOP_LAYER,BOTTOM_LAYER,0.00515523,0.00518774,-0.0331296
-739.954,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.00513234,0.00514421,-0.0120972
-739.954,-348.842,TOP_LAYER,BOTTOM_LAYER,0.00515766,0.00515434,0.00338751
-568.181,-5876.5,TOP_LAYER,BOTTOM_LAYER,0.00494224,0.00508403,-0.218936
-543.104,-5466.95,TOP_LAYER,BOTTOM_LAYER,0.00490776,0.00512086,-0.21715
-543.104,-3892.15,TOP_LAYER,BOTTOM_LAYER,0.00478976,0.00488473,-0.0967684
-543.104,-2317.35,TOP_LAYER,BOTTOM_LAYER,0.0050188,0.00498701,0.0323992
-543.104,-1529.94,TOP_LAYER,BOTTOM_LAYER,0.00509935,0.00511319,-0.014101
-543.104,-742.543,TOP_LAYER,BOTTOM_LAYER,0.00510782,0.00510751,0.000313683
-346.254,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.00494368,0.00496539,-0.0221259
-346.254,-1923.65,TOP_LAYER,BOTTOM_LAYER,0.00504307,0.00506332,-0.0206289
-346.254,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.00506011,0.00506054,-0.00043
-346.254,-348.842,TOP_LAYER,BOTTOM_LAYER,0.00506925,0.00506627,0.00303272
-149.403,-3892.15,TOP_LAYER,BOTTOM_LAYER,0.00468697,0.00463543,0.0525138
-149.403,-2317.35,TOP_LAYER,BOTTOM_LAYER,0.00495248,0.00494441,0.00822624
-149.403,-1529.94,TOP_LAYER,BOTTOM_LAYER,0.00501457,0.0050131,0.0014959
-149.403,-742.543,TOP_LAYER,BOTTOM_LAYER,0.00502481,0.00501944,0.00547047
41.5775,-5562.25,TOP_LAYER,BOTTOM_LAYER,0.00404219,0.00404219,1.32812e-14
47.4471,-1923.65,TOP_LAYER,BOTTOM_LAYER,0.00495949,0.00495845,0.00105737
47.4471,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.00498215,0.00496831,0.0140978
47.4471,-348.842,TOP_LAYER,BOTTOM_LAYER,0.00498486,0.0049803,0.00465477
244.298,-5466.95,TOP_LAYER,BOTTOM_LAYER,0.00377116,0.00327496,0.505629
244.298,-3892.15,TOP_LAYER,BOTTOM_LAYER,0.00438281,0.00423549,0.150114
244.298,-3104.75,TOP_LAYER,BOTTOM_LAYER,0.0047109,0.00476955,-0.059764
244.298,-2317.35,TOP_LAYER,BOTTOM_LAYER,0.00489391,0.00489441,-0.000514109
244.298,-1529.94,TOP_LAYER,BOTTOM_LAYER,0.00493916,0.00491334,0.0263114
244.298,-742.543,TOP_LAYER,BOTTOM_LAYER,0.00494718,0.00492985,0.0176624
327.814,-4684.96,TOP_LAYER,BOTTOM_LAYER,8.07858,8.07858,-5.38958e-11
441.148,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.00343553,0.00321862,0.221028
441.148,-3498.45,TOP_LAYER,BOTTOM_LAYER,0.0044929,0.00461827,-0.127753
441.148,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.00480656,0.00483623,-0.0302396
441.148,-1923.65,TOP_LAYER,BOTTOM_LAYER,0.00489448,0.00485455,0.0406877
441.148,-1136.24,TOP_LAYER,BOTTOM_LAYER,0.00491407,0.00486623,0.0487462
441.148,-348.842,TOP_LAYER,BOTTOM_LAYER,0.00490298,0.004901,0.00201828
558.129,-4563.89,TOP_LAYER,BOTTOM_LAYER,8.07858,8.07858,3.23375e-11
637.998,-4679.55,TOP_LAYER,BOTTOM_LAYER,0.00236405,0.00279211,-0.436198
637.998,-3892.15,TOP_LAYER,BOTTOM_LAYER,0.00430528,0.0041061,0.202965
637.998,-2317.35,TOP_LAYER,BOTTOM_LAYER,0.00485559,0.00484696,0.0087965
637.998,-1529.94,TOP_LAYER,BOTTOM_LAYER,0.00488222,0.00480275,0.0809806
637.998,-742.543,TOP_LAYER,BOTTOM_LAYER,0.00488102,0.00482116,0.0610014
723.95,-5270.25,TOP_LAYER,BOTTOM_LAYER,8.08888,8.08816,1.87515
834.849,-5860.65,TOP_LAYER,BOTTOM_LAYER,0.0027656,0.00271398,0.0526061
834.849,-348.842,TOP_LAYER,BOTTOM_LAYER,0.00480662,0.00481786,-0.0114574
964.366,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.0019947,0.00187023,0.170437
964.366,-2065.13,TOP_LAYER,BOTTOM_LAYER,0.00447973,0.00460615,-0.173107
