x,y,layer1,layer2,voltage1,voltage2,current
-3180.9,-3340.97,TOP_LAYER,BOTTOM_LAYER,0.0430443,0.0429181,0.128594
-3180.9,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.0422153,0.0420747,0.14329
-3023.42,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.042098,0.0420172,0.0824041
-3023.42,-3655.93,TOP_LAYER,BOTTOM_LAYER,0.0430891,0.0429265,0.165729
-3023.42,-2396.09,TOP_LAYER,BOTTOM_LAYER,0.0418387,0.0417003,0.140983
-2865.94,-4600.81,TOP_LAYER,BOTTOM_LAYER,0.0408262,0.0407653,0.0621176
-2865.94,-3970.89,TOP_LAYER,BOTTOM_LAYER,0.0428823,0.0426696,0.216695
-2865.94,-3340.97,TOP_LAYER,BOTTOM_LAYER,0.0432778,0.042996,0.287143
-2865.94,-2711.05,TOP_LAYER,BOTTOM_LAYER,0.0423373,0.0420992,0.242603
-2865.94,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.0413049,0.041174,0.133428
-2708.46,-4915.77,TOP_LAYER,BOTTOM_LAYER,0.0392648,0.0392701,-0.0054575
-2708.46,-4285.85,TOP_LAYER,BOTTOM_LAYER,0.0422391,0.0420985,0.143269
-2708.46,-3655.93,TOP_LAYER,BOTTOM_LAYER,0.0433986,0.0431628,0.240319
-2708.46,-3026.01,TOP_LAYER,BOTTOM_LAYER,0.0430643,0.0425712,0.502506
-2708.46,-2396.09,TOP_LAYER,BOTTOM_LAYER,0.0418936,0.0416366,0.261902
-2708.46,-1766.17,TOP_LAYER,BOTTOM_LAYER,0.0406375,0.0405452,0.0939773
-2554.24,-2766.52,TOP_LAYER,BOTTOM_LAYER,0.0504156,0.0530062,-4
-2554.24,-2666.52,TOP_LAYER,BOTTOM_LAYER,8.0657,8.0632,3.84647
-2550.98,-4600.81,TOP_LAYER,BOTTOM_LAYER,0.0395505,0.0395748,-0.0247329
-2550.98,-2081.13,TOP_LAYER,BOTTOM_LAYER,0.0412129,0.0409743,0.243134
-2550.98,-1451.21,TOP_LAYER,BOTTOM_LAYER,0.0400281,0.039941,0.0887894
-2545.63,-4465.13,TOP_LAYER,BOTTOM_LAYER,0.0509456,0.0535668,-3.58902
-2545.63,-4365.13,TOP_LAYER,BOTTOM_LAYER,8.10007,8.09762,3.35923
-2545.63,-4265.13,TOP_LAYER,BOTTOM_LAYER,0.0432344,0.042865,0.505823
-2530.63,-3770.13,TOP_LAYER,BOTTOM_LAYER,0.0520497,0.0545435,-3.41449
