vrefdes,vpin,refdes,pin
VCOMP0,0,BAT,0
VCOMP0,1,BAT,1
VCOMP1,0,06x01_Conector_Male_M0,5
VCOMP1,1,06x01_Conector_Male_M0,6
VCOMP2,0,06x01_Conector_Male_M1,5
VCOMP2,1,06x01_Conector_Male_M1,6
VCOMP3,0,06x01_Conector_Male_M2,5
VCOMP3,1,06x01_Conector_Male_M2,6
VCOMP4,0,06x01_Conector_Male_M3,5
VCOMP4,1,06x01_Conector_Male_M3,6
VCOMP5,0,CON_DRIBLE,2
VCOMP5,1,CON_DRIBLE,1
VCOMP6,0,SW,0
VCOMP6,1,SW,1
VCOMP7,0,R11_M0,2
VCOMP7,1,R11_M0,1
VCOMP8,0,FM_M0,2
VCOMP8,1,FM_M0,1
VCOMP9,0,M0-MOTOR,2
VCOMP9,1,M0-MOTOR,1
VCOMP10,0,M0-MOTOR,3
VCOMP10,1,M0-MOTOR,0
VCOMP11,0,R11_M1,2
VCOMP11,1,R11_M1,1
VCOMP12,0,FM_M1,2
VCOMP12,1,FM_M1,1
VCOMP13,0,M3-MOTOR,2
VCOMP13,1,M3-MOTOR,1
VCOMP14,0,M3-MOTOR,3
VCOMP14,1,M3-MOTOR,0
VCOMP15,0,R11_M2,2
VCOMP15,1,R11_M2,1
VCOMP16,0,FM_M2,2
VCOMP16,1,FM_M2,1
VCOMP17,0,M1-MOTOR,2
VCOMP17,1,M1-MOTOR,1
VCOMP18,0,M1-MOTOR,3
VCOMP18,1,M1-MOTOR,0
VCOMP19,0,R11_M3,2
VCOMP19,1,R11_M3,1
VCOMP20,0,FM_M3,2
VCOMP20,1,FM_M3,1
VCOMP21,0,M2-MOTOR,2
VCOMP21,1,M2-MOTOR,1
VCOMP22,0,M2-MOTOR,3
VCOMP22,1,M2-MOTOR,0
VCOMP23,0,RD1,2
VCOMP23,1,RD1,1
VCOMP24,0,DF,2
VCOMP24,1,DF,1
VCOMP25,0,DRIBLE-MOTOR,1
VCOMP25,1,DRIBLE-MOTOR,2
VCOMP26,0,DRIBLE-MOTOR,0
VCOMP26,1,DRIBLE-MOTOR,3
