refdes,pin,voltage,current
CON-MC2,3,7.993,7.0
CON-MC2,4,0.0,-7.0
CON-MC2,2,7.92543,-7.00001
CON-MC2,1,0.0409548,7.00001
IC,23,7.9644,-1.04983
IC,18,7.9644,-2.07832
IC,17,7.9644,-1.6707
IC,3,7.9644,-1.67001
IC,4,7.9644,-0.51284
IC,9,7.9644,-0.0183042
IC,14,7.96439,0.644083
IC,13,7.96438,6.19266
IC,16,7.96439,0.0538498
IC,15,7.96439,0.109411
IC,26,0.0333538,0.0
IC,20,0.0333538,0.0
IC,24,0.0333538,0.0
IC,25,0.0333538,2.60208e-12
IC,11,0.0333439,3.71576
IC,10,0.0333481,2.14886
IC,7,0.0333534,0.143403
IC,12,0.0333511,0.991965
IC,1,0.0333673,-2.43019
IC,2,0.0333612,-0.155742
IC,27,0.0333651,-1.63038
IC,28,0.0333682,-2.78368
