x,y,layer1,layer2,voltage1,voltage2,current
161.656,62.7533,TOP_LAYER,BOTTOM_LAYER,7.96212,7.9613,1.90527
161.656,82.4384,TOP_LAYER,BOTTOM_LAYER,7.96249,7.96184,1.50313
161.656,102.123,TOP_LAYER,BOTTOM_LAYER,7.96249,7.96184,1.50313
161.656,121.808,TOP_LAYER,BOTTOM_LAYER,7.96184,7.96094,2.08847
169.53,196.612,TOP_LAYER,BOTTOM_LAYER,0.0318884,0.0312431,1.49387
169.53,212.36,TOP_LAYER,BOTTOM_LAYER,0.0318884,0.0312431,1.49387
169.53,232.045,TOP_LAYER,BOTTOM_LAYER,0.0317843,0.0312431,1.25294
169.53,247.793,TOP_LAYER,BOTTOM_LAYER,0.0317843,0.0313142,1.08831
169.53,267.478,TOP_LAYER,BOTTOM_LAYER,0.032036,0.0313142,1.671
185.278,373.777,TOP_LAYER,BOTTOM_LAYER,7.96443,7.96444,-0.0183042
409.688,86.3754,TOP_LAYER,BOTTOM_LAYER,7.96742,7.96781,-0.895477
409.688,133.619,TOP_LAYER,BOTTOM_LAYER,7.96767,7.96798,-0.70942
425.436,86.3754,TOP_LAYER,BOTTOM_LAYER,7.96733,7.96833,-2.30824
425.436,133.619,TOP_LAYER,BOTTOM_LAYER,7.96758,7.96845,-2.03704
472.68,385.588,TOP_LAYER,BOTTOM_LAYER,7.96476,7.96475,0.0183042
582.916,389.525,TOP_LAYER,BOTTOM_LAYER,0.0308431,0.0308431,-4.01599e-14
937.527,-2.52749,TOP_LAYER,BOTTOM_LAYER,0,0.000967265,-7
937.527,97.4725,TOP_LAYER,BOTTOM_LAYER,7.993,7.99218,5.95017
937.527,197.473,TOP_LAYER,BOTTOM_LAYER,7.92543,7.9264,-7
937.527,297.473,TOP_LAYER,BOTTOM_LAYER,0.0409548,0.0409548,-5.02161e-14
