refdes,pin,voltage,current,rpin
VCOMP0,VCOMP0-0,7.993,7,0
VCOMP0,VCOMP0-1,0,-7,0
VCOMP1,VCOMP1-0,7.92543,-7.00001,0.0142857
VCOMP1,VCOMP1-1,0.0409548,7.00001,0.0142857
VCOMP2,VCOMP2-0,7.9644,-1.04983,2.4e-06
VCOMP2,VCOMP2-1,7.9644,-2.07832,2.4e-06
VCOMP2,VCOMP2-2,7.9644,-1.6707,2.4e-06
VCOMP2,VCOMP2-3,7.9644,-1.67001,2.4e-06
VCOMP2,VCOMP2-4,7.9644,-0.51284,2.4e-06
VCOMP2,VCOMP2-5,7.9644,-0.0183042,2.4e-06
VCOMP2,VCOMP2-6,7.96439,0.644083,2.4e-06
VCOMP2,VCOMP2-7,7.96438,6.19266,2.4e-06
VCOMP2,VCOMP2-8,7.96439,0.0538498,2.4e-06
VCOMP2,VCOMP2-9,7.96439,0.109411,2.4e-06
VCOMP3,VCOMP3-0,0.0333538,0,2.66667e-06
VCOMP3,VCOMP3-1,0.0333538,0,2.66667e-06
VCOMP3,VCOMP3-2,0.0333538,0,2.66667e-06
VCOMP3,VCOMP3-3,0.0333538,2.60208e-12,2.66667e-06
VCOMP3,VCOMP3-4,0.0333439,3.71576,2.66667e-06
VCOMP3,VCOMP3-5,0.0333481,2.14886,2.66667e-06
VCOMP3,VCOMP3-6,0.0333534,0.143403,2.66667e-06
VCOMP3,VCOMP3-7,0.0333511,0.991965,2.66667e-06
VCOMP3,VCOMP3-8,0.0333673,-2.43019,2.66667e-06
VCOMP3,VCOMP3-9,0.0333612,-0.155742,2.66667e-06
VCOMP3,VCOMP3-10,0.0333651,-1.63038,2.66667e-06
VCOMP3,VCOMP3-11,0.0333682,-2.78368,2.66667e-06
